"ISO3","ISO2","name","meantemp","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"BEL","BE","Belgium",10.1748387096774,30268.081,30576.392,30898.422,31234.535,31585.112,31950.551,32342.457,32761.68,33209.139,33685.823,34192.794,34733.451,35309.123,35921.242,36571.345,37261.08,37979.027,38726.302,39504.081,40313.599,41156.153,42011.625,42880.089,43761.618,44656.28,45564.143,46477.795,47396.847,48320.896,49249.527,50182.313,51120.12,52062.57,53009.276,53959.838,54913.848,55881.76,56863.714,57859.853,58870.317,59895.249,60940.661,62007.001,63094.728,64204.311,65336.233,66492.554,67673.861,68880.756,70113.86,71373.806,72658.963,73969.876,75307.103,76671.216,78062.798,79479.794,80922.67,82391.902,83887.975,85411.38,86958.522,88529.689,90125.171,91745.261,93390.253,95060.445,96756.133,98477.618,100225.202,101999.188,103805.185,105643.783,107515.579,109421.185,111361.223,113336.994,115349.179,117398.472,119485.582,121611.231,123778.343,125987.787,128240.448,130537.235,132879.073,135262.923,137689.54,140159.69,142674.155
"BEN","BJ","Benin",27.228064516129,492.777,499.571,508.392,519.334,532.521,548.103,566.517,588.006,612.86,641.421,674.095,710.774,751.917,798.051,849.787,907.828,971.53,1041.519,1118.498,1203.258,1296.691,1397.506,1506.296,1623.703,1750.42,1887.197,2033.663,2190.417,2358.094,2537.356,2728.901,2932.57,3148.929,3378.555,3622.034,3879.959,4152.239,4439.334,4741.688,5059.732,5393.876,5744.252,6111.172,6494.917,6895.731,7313.819,7749.24,8202.09,8672.414,9160.203,9665.388,10188.324,10728.896,11286.928,11862.177,12454.337,13064.002,13690.865,14334.555,14994.632,15670.59,16365.017,17077.68,17808.298,18556.531,19321.988,20106.229,20908.99,21729.961,22568.781,23425.04,24300.293,25194.253,26106.587,27036.921,27984.836,28952.272,29938.965,30944.615,31968.882,33011.387,34072.505,35151.854,36249.013,37363.525,38494.893,39660.518,40861.439,42098.723,43373.472
"BFA","BF","Burkina Faso",28.07,323.972,335.262,347.57,360.975,375.569,391.452,409.353,429.479,452.071,477.406,505.802,537.252,572.107,610.766,653.686,701.386,753.276,809.767,871.314,938.421,1011.646,1090.032,1173.897,1263.573,1359.41,1461.774,1570.629,1686.284,1809.052,1939.253,2077.212,2223.169,2377.439,2540.337,2712.175,2893.267,3083.667,3283.631,3493.402,3713.214,3943.285,4183.707,4434.646,4696.245,4968.628,5251.889,5546.026,5851.069,6167.015,6493.83,6831.444,7180.244,7540.161,7911.091,8292.896,8685.399,9088.957,9503.396,9928.502,10364.025,10809.678,11267.209,11736.511,12217.449,12709.861,13213.553,13729.225,14256.73,14795.891,15346.505,15908.34,16482.059,17067.469,17664.352,18272.465,18891.536,19522.589,20165.429,20819.837,21485.573,22162.368,22850.377,23549.324,24258.912,24978.82,25708.701,26459.909,27233.068,28028.818,28847.82
"BGD","BD","Bangladesh",25.6554838709677,331.165,349.075,368.721,390.284,413.966,439.996,468.46,499.615,533.747,571.177,612.268,657.115,706.107,759.675,818.301,882.521,951.811,1026.574,1107.244,1194.292,1288.223,1387.617,1492.606,1603.31,1719.829,1842.247,1970.386,2104.238,2243.766,2388.902,2539.546,2695.921,2857.924,3025.421,3198.245,3376.196,3560.003,3749.552,3944.701,4145.281,4351.094,4562.827,4780.355,5003.531,5232.182,5466.113,5705.409,5949.862,6199.245,6453.302,6711.757,6975.328,7243.808,7516.972,7794.574,8076.348,8363.64,8656.317,8954.233,9257.226,9565.121,9878.475,10197.154,10521.016,10849.903,11183.646,11522.891,11867.517,12217.396,12572.384,12932.332,13298.342,13670.35,14048.281,14432.052,14821.573,15218.139,15621.754,16032.419,16450.128,16874.87,17306.529,17745.076,18190.478,18642.693,19101.676,19571.96,20053.821,20547.546,21053.427
"BGR","BG","Bulgaria",10.1676666666667,3011.653,3108.007,3222.718,3357.498,3514.414,3695.934,3888.802,4093.812,4311.816,4543.731,4790.547,5049.83,5322.158,5608.128,5908.365,6223.517,6547.127,6878.778,7217.999,7564.26,7916.982,8271.029,8625.112,8977.879,9327.927,9673.806,10018.232,10360.135,10698.414,11031.947,11359.596,11685.821,12009.939,12331.253,12649.054,12962.624,13277.694,13593.995,13911.251,14229.179,14547.486,14871.08,15199.999,15534.277,15873.95,16219.049,16568.44,16922.077,17279.911,17641.891,18007.96,18373.81,18739.118,19103.556,19466.791,19828.484,20188.728,20547.199,20903.57,21257.509,21608.683,21963.325,22321.415,22682.932,23047.855,23416.16,23789.648,24168.379,24552.415,24941.816,25336.645,25740.258,26152.874,26574.72,27006.027,27447.036,27897.771,28358.475,28829.396,29310.789,29802.917,30302.354,30809.192,31323.52,31845.433,32375.022,32913.419,33460.769,34017.222,34582.928
"BHS","BS","Bahamas",25.5370967741935,21657.366,21931.548,22227.624,22546.368,22888.622,23255.298,23636.824,24033.734,24446.585,24875.965,25322.489,25797.336,26301.777,26837.176,27404.997,28006.811,28630.915,29278.202,29949.61,30646.118,31368.754,32101.277,32843.587,33595.573,34357.118,35128.092,35912.994,36711.986,37525.23,38352.886,39195.116,40032.323,40863.394,41687.2,42502.602,43308.451,44120.658,44939.008,45763.279,46593.242,47428.659,48269.379,49115.155,49965.732,50820.845,51680.226,52549.384,53428.325,54317.052,55215.564,56123.86,57048.108,57988.603,58945.647,59919.547,60910.616,61902.728,62895.401,63888.142,64880.452,65871.825,66877.425,67897.439,68932.06,69981.482,71045.9,72120.825,73206.243,74302.141,75408.5,76525.3,77669.506,78841.849,80043.084,81273.986,82535.359,83828.523,85154.355,86513.759,87907.668,89337.047,90785.379,92252.834,93739.581,95245.788,96771.626,98321.907,99897.024,101497.375,103123.363
"BIH","BA","Bosnia and Herzegovina",9.66,2460.133,2520.894,2595.653,2685.499,2791.77,2916.087,3050.81,3196.853,3355.225,3527.046,3713.556,3909.929,4116.686,4334.376,4563.578,4804.9,5054.63,5312.76,5579.259,5854.071,6137.115,6424.074,6714.224,7006.789,7300.948,7595.834,7891.266,8186.384,8480.291,8772.064,9060.753,9347.471,9631.429,9911.819,10187.823,10458.616,10729.201,10999.191,11268.187,11535.784,11801.568,12071.092,12344.334,12621.266,12901.862,13186.091,13468.985,13750.19,14029.347,14306.09,14580.051,14855.06,15130.978,15407.663,15684.97,15962.751,16241.493,16521.074,16801.37,17082.256,17363.6,17645.099,17926.609,18207.985,18489.08,18769.744,19054.293,19342.775,19635.238,19931.73,20232.301,20539.751,20854.255,21175.995,21505.154,21841.925,22186.023,22537.627,22896.922,23264.097,23639.347,24022.493,24413.724,24813.23,25221.209,25637.863,26061.401,26491.935,26929.582,27374.459
"BLR","BY","Belarus",6.7575,2599.957,2717.059,2839.409,2967.239,3100.794,3240.33,3386.734,3540.37,3701.62,3870.888,4048.6,4235.022,4430.604,4635.82,4851.173,5077.189,5310.862,5552.283,5801.536,6058.695,6323.823,6590.79,6858.85,7127.223,7395.093,7661.612,7927.47,8191.93,8454.236,8713.612,8969.269,9223.136,9474.632,9723.171,9968.156,10208.986,10451.899,10696.766,10943.455,11191.827,11441.741,11698.082,11961.031,12230.776,12507.51,12791.43,13080.696,13375.378,13675.548,13981.278,14292.642,14604.821,14917.569,15230.629,15543.74,15856.636,16168.187,16478.067,16785.943,17091.48,17394.342,17699.056,18005.532,18313.679,18623.4,18934.597,19251.297,19573.602,19901.617,20235.447,20575.2,20922.427,21277.313,21640.049,22010.829,22389.856,22777.782,23174.845,23581.285,23997.353,24423.306,24855.11,25292.809,25736.445,26186.06,26641.698,27105.263,27576.895,28056.733,28544.92
"BLZ","BZ","Belize",25.971935483871,3044.017,3062.908,3089.561,3124.158,3166.941,3218.213,3282.545,3360.637,3453.357,3561.758,3687.096,3825.871,3979.235,4148.488,4335.095,4540.709,4759.008,4990.876,5237.266,5499.202,5777.792,6067.918,6369.906,6684.083,7010.774,7350.306,7701.18,8063.459,8437.184,8822.375,9219.029,9626.326,10044.108,10472.188,10910.345,11358.323,11817.45,12287.595,12768.605,13260.299,13762.466,14275.668,14799.728,15334.442,15879.582,16434.891,17003.67,17585.977,18181.86,18791.353,19414.474,20045.25,20683.09,21327.368,21977.427,22632.574,23297.202,23971.004,24653.65,25344.79,26044.053,26758.858,27489.428,28235.986,28998.753,29777.95,30572.306,31381.922,32206.89,33047.297,33903.222,34775.958,35665.667,36572.502,37496.616,38438.156,39402.108,40388.973,41399.263,42433.499,43492.215,44574.214,45679.922,46809.769,47964.192,49143.631,50352.073,51590.231,52858.835,54158.633
"BOL","BO","Bolivia\",17.3709677419355,946.665,979.453,1014.128,1050.807,1089.617,1130.696,1176.523,1227.537,1284.237,1347.19,1417.042,1493.364,1576.798,1668.063,1767.964,1877.401,1994.28,2119.146,2252.584,2395.227,2547.755,2707.779,2875.499,3051.106,3234.783,3426.702,3626.787,3835.146,4051.87,4277.033,4510.687,4752.713,5003.095,5261.795,5528.747,5803.857,6087.898,6380.848,6682.662,6993.272,7312.585,7641.037,7978.557,8325.049,8680.396,9044.452,9417.174,9798.381,10187.866,10585.397,10990.712,11403.743,11824.199,12251.762,12686.087,13126.801,13575.292,14031.313,14494.599,14964.861,15441.792,15928.826,16425.964,16933.198,17450.507,17977.862,18515.436,19063.196,19621.1,20189.091,20767.105,21355.437,21954.03,22562.815,23181.713,23810.633,24450.52,25101.344,25763.066,26435.636,27118.998,27812.973,28517.475,29232.408,29957.664,30693.125,31446.641,32218.656,33009.624,33820.011
