"ISO3","ISO2","name","meantemp","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"BRA","BR","Brazil",22.2222580645161,4369.282,4484.447,4611.295,4750.62,4903.315,5070.371,5245.907,5430.405,5624.379,5828.376,6042.976,6270.434,6511.595,6767.37,7038.742,7326.767,7629.333,7947.263,8281.43,8632.761,9002.243,9382.642,9774.011,10176.387,10589.793,11014.232,11447.774,11890.161,12341.108,12800.296,13267.378,13742.006,14223.773,14712.246,15206.96,15707.421,16216.938,16735.329,17262.391,17797.905,18341.631,18894.961,19457.767,20029.903,20611.211,21201.516,21798.805,22402.719,23012.879,23628.888,24250.328,24878.799,25514.005,26155.631,26803.349,27456.815,28121.599,28797.755,29485.33,30184.368,30894.908,31616.922,32350.435,33095.465,33852.028,34620.13,35400.814,36194.146,37000.19,37819.004,38650.644,39499.49,40365.871,41250.126,42152.596,43073.631,44014.531,44975.72,45957.63,46960.702,47985.384,49030.314,50095.841,51182.319,52290.109,53419.576,54573.439,55752.225,56956.473,58186.733
"BRN","BN","Brunei Darussalam",27.1264516129032,28086.59,28483.398,28928.194,29422.982,29970.014,30571.812,31197.189,31847.089,32522.502,33224.468,33954.077,34711.049,35496.491,36311.561,37157.475,38035.506,38931.395,39845.426,40777.889,41729.074,42699.275,43670.256,44641.046,45610.65,46578.051,47542.217,48508.18,49475.239,50442.678,51409.765,52375.754,53346.382,54321.233,55299.885,56281.9,57266.833,58259.497,59259.696,60267.229,61281.888,62303.457,63336.324,64380.487,65435.94,66502.677,67580.685,68660.354,69741.206,70822.752,71904.499,72985.943,74072.557,75164.091,76260.284,77360.872,78465.585,79571.95,80679.592,81788.129,82897.176,84006.341,85129.505,86266.835,87418.498,88584.66,89765.494,90971.224,92202.429,93459.701,94743.65,96054.902,97388.145,98743.788,100122.251,101523.962,102949.359,104410.004,105906.826,107440.781,109012.854,110624.064,112270.371,113952.631,115671.72,117428.542,119224.024,121046.96,122897.768,124776.875,126684.713
"BTN","BT","Bhutan",12.7486666666667,883.406,959.976,1046.462,1144.314,1255.226,1381.175,1513.879,1652.883,1797.609,1947.35,2101.269,2263.672,2434.66,2614.299,2802.613,2999.58,3205.195,3419.354,3641.899,3872.621,4111.251,4356.775,4608.684,4866.402,5129.285,5396.623,5669.919,5948.675,6232.343,6520.327,6811.982,7108.221,7408.515,7712.294,8018.95,8327.84,8640.484,8956.414,9275.137,9596.131,9918.849,10245.417,10575.504,10908.759,11244.815,11583.284,11926.427,12274.058,12625.98,12981.982,13341.843,13704.607,14069.972,14437.621,14807.224,15178.441,15552.164,15928.122,16306.033,16685.605,17066.537,17450.33,17836.785,18225.698,18616.858,19010.046,19405.949,19804.392,20205.193,20608.166,21013.116,21422.409,21835.991,22253.8,22675.777,23101.855,23531.78,23965.471,24402.841,24843.8,25288.256,25737.072,26190.199,26647.584,27109.174,27574.909,28048.646,28530.522,29020.676,29519.252
"BWA","BW","Botswana",21.181935483871,4070.697,4205.226,4348.06,4499.738,4660.838,4831.984,5008.805,5191.466,5380.134,5574.981,5776.183,5987.36,6209.072,6441.912,6686.511,6943.541,7208.423,7481.305,7762.333,8051.65,8349.4,8652.634,8961.152,9274.739,9593.159,9916.161,10242.938,10573.15,10906.437,11242.42,11580.705,11922.451,12267.368,12615.148,12965.47,13318.002,13674.232,14033.946,14396.92,14762.918,15131.696,15505.025,15882.79,16264.866,16651.124,17041.426,17436.856,17837.345,18242.824,18653.215,19068.435,19486.758,19907.984,20331.905,20758.305,21186.964,21616.382,22046.245,22476.235,22906.026,23335.285,23766.941,24200.83,24636.784,25074.629,25514.187,25955.838,26399.423,26844.781,27291.747,27740.15,28193.591,28652.075,29115.608,29584.195,30057.838,30537.26,31022.497,31513.583,32010.553,32513.438,33021.103,33533.525,34050.679,34572.539,35099.079,35633.638,36176.338,36727.304,37286.661
"CAF","CF","Central African Republic",25.0496774193548,374.979,385.398,397.321,410.867,426.17,443.387,462.926,485.022,509.951,538.031,569.63,605.295,645.544,690.974,742.285,800.287,864.526,935.763,1014.863,1102.811,1200.73,1307.042,1422.441,1547.673,1683.543,1830.92,1989.657,2160.481,2344.153,2541.465,2753.245,2979.347,3220.418,3477.104,3750.05,4039.891,4346.939,4671.734,5014.789,5376.586,5757.57,6158.378,6579.414,7021.037,7483.555,7967.217,8472.546,8999.725,9548.87,10120.026,10713.161,11329.553,11969.243,12632.195,13318.3,14027.366,14760.773,15518.414,16300.108,17105.594,17934.531,18789.9,19671.673,20579.757,21513.995,22474.165,23461.185,24474.849,25514.884,26580.946,27672.626,28791.652,29937.732,31110.513,32309.574,33534.43,34787.746,36069.257,37378.643,38715.528,40079.476,41471.356,42890.754,44337.202,45810.173,47309.081,48857.035,50455.637,52106.545,53811.471
"CAN","CA","Canada",5.86935483870968,30174.595,30583.28,31003.739,31436.303,31881.315,32339.131,32789.809,33232.865,33667.817,34094.186,34511.499,34966.568,35460.715,35995.392,36572.182,37192.812,37863.696,38587.12,39365.576,40201.78,41098.681,42019.621,42965.314,43936.502,44933.949,45958.443,46990.118,48028.411,49072.741,50122.505,51177.083,52225.497,53266.455,54298.653,55320.77,56331.481,57339.251,58343.261,59342.681,60336.671,61324.383,62323.112,63332.871,64353.67,65385.517,66428.416,67496.053,68589.084,69708.184,70854.047,72027.39,73229.095,74459.929,75720.685,77012.177,78335.246,79681.046,81049.966,82442.404,83858.765,85299.458,86760.297,88241.469,89743.162,91265.565,92808.866,94377.521,95971.935,97592.517,99239.684,100913.857,102619.301,104356.646,106126.535,107929.625,109766.587,111641.181,113554.264,115506.716,117499.438,119533.353,121611.082,123733.682,125902.238,128117.866,130381.708,132685.553,135030.107,137416.089,139844.231
"CHE","CH","Switzerland",7.45806451612903,47603.978,48229.018,48894.578,49602.083,50353.058,51149.14,51969.368,52814.494,53685.299,54582.595,55507.224,56467.943,57466.071,58502.989,59580.146,60699.061,61854.528,63047.826,64280.284,65553.291,66868.29,68210.337,69580,70977.863,72404.518,73860.572,75339.557,76841.677,78367.138,79916.142,81488.892,83075.481,84675.515,86288.583,87914.26,89552.103,91209.891,92887.606,94585.22,96302.698,98039.999,99808.052,101607.392,103438.56,105302.109,107198.6,109142.54,111135.264,113178.153,115272.628,117420.157,119615.914,121861.104,124156.968,126504.776,128905.836,131349.633,133836.87,136368.261,138944.53,141566.413,144232.958,146944.826,149702.687,152507.217,155359.102,158252.51,161187.777,164165.238,167185.221,170248.055,173357.465,176513.958,179718.039,182970.217,186271,189624.25,193030.66,196490.928,200005.757,203575.86,207210.911,210912.112,214680.69,218517.892,222424.992,226401.951,230450.018,234570.464,238764.584
"CHL","CL","Chile",9.99806451612903,5531.762,5749.591,5974.032,6205.192,6443.173,6688.078,6942.452,7206.668,7481.113,7766.188,8062.313,8371.889,8695.597,9034.151,9388.308,9758.864,10142.076,10538.286,10947.846,11371.111,11808.444,12254.331,12708.477,13170.557,13640.219,14117.081,14600.873,15091.171,15587.519,16089.437,16596.416,17105.726,17616.606,18128.263,18639.879,19150.611,19663.35,20177.507,20692.477,21207.637,21722.347,22242.38,22767.522,23297.55,23832.229,24371.314,24918.06,25472.437,26034.41,26603.939,27180.978,27764.282,28353.717,28949.146,29550.419,30157.385,30770.545,31389.771,32014.93,32645.88,33282.475,33929.619,34587.447,35256.091,35935.688,36626.372,37329.012,38043.788,38770.881,39510.474,40262.754,41031.289,41816.464,42618.671,43438.313,44275.804,45134.666,46015.514,46918.982,47845.726,48796.421,49767.958,50760.828,51775.537,52812.601,53872.55,54953.772,56056.694,57181.752,58329.39
"CHN","CN","China",14.2064516129032,998.59,1082.286,1172.709,1270.374,1375.835,1489.686,1612.09,1743.614,1884.854,2036.438,2199.027,2370.806,2551.917,2742.463,2942.51,3152.075,3368.03,3589.66,3816.153,4046.603,4280.011,4514.958,4750.224,4984.514,5216.473,5444.694,5672.794,5899.922,6125.192,6347.696,6566.501,6782.683,6995.483,7204.131,7407.849,7605.861,7800.495,7991.217,8177.492,8358.787,8534.573,8709.924,8884.662,9058.606,9231.571,9403.371,9575.039,9746.451,9917.482,10088.003,10257.885,10427.571,10596.956,10765.935,10934.401,11102.244,11269.155,11435.014,11599.702,11763.095,11925.073,12089.424,12256.186,12425.394,12597.089,12771.306,12947.346,13125.217,13304.927,13486.486,13669.902,13856.332,14045.832,14238.456,14434.263,14633.312,14836.481,15043.865,15255.562,15471.673,15692.299,15917.703,16148,16383.309,16623.75,16869.449,17118.78,17371.796,17628.551,17889.101
"CIV","CI","C̫te d'Ivoire",26.3725806451613,1078.757,1115.823,1162.721,1220.508,1290.528,1374.464,1471.724,1584.288,1714.526,1865.28,2039.964,2233.593,2448.434,2687.043,2952.313,3247.515,3567.597,3914.132,4288.738,4693.071,5128.823,5591.607,6081.51,6598.414,7141.978,7711.622,8309.952,8936.655,9591.212,10272.878,10980.679,11716.912,12480.808,13271.392,14087.477,14927.654,15797.189,16695.418,17621.512,18574.484,19553.173,20561.022,21597.257,22660.965,23751.093,24866.444,26008.262,27175.409,28366.615,29580.48,30815.465,32073.167,33352.181,34650.981,35967.927,37301.258,38656.263,40031.73,41426.356,42838.746,44267.418,45723.905,47207.828,48718.762,50256.229,51819.7,53411.083,55029.973,56675.919,58348.426,60046.948,61773.178,63526.671,65306.943,67113.464,68945.661,70806.504,72695.622,74612.606,76557.01,78528.353,80525.8,82548.769,84596.639,86668.749,88764.4,90910.723,93108.944,95360.318,97666.131
"CMR","CM","Cameroon",24.3058064516129,981.789,1009.484,1040.43,1074.873,1113.087,1155.384,1203.115,1256.803,1317.049,1384.545,1460.086,1543.737,1636.398,1739.092,1852.982,1979.392,2116.378,2264.931,2426.144,2601.225,2791.504,2993.86,3208.909,3437.287,3679.65,3936.674,4207.871,4493.712,4794.656,5111.151,5443.632,5792.002,6156.563,6537.58,6935.287,7349.879,7782.184,8232.43,8700.806,9187.459,9692.494,10216.606,10759.904,11322.454,11904.269,12505.316,13125.804,13765.635,14424.651,15102.638,15799.323,16514.179,17246.781,17996.637,18763.186,19545.798,20345.299,21161.105,21992.567,22838.973,23699.546,24579.605,25478.923,26397.235,27334.231,28289.562,29264.534,30258.884,31272.315,32304.489,33355.03,34425.46,35515.508,36624.87,37753.209,38900.152,40067.545,41255.147,42462.686,43689.857,44936.329,46202.005,47486.514,48789.449,50110.374,51448.822,52823.02,54233.923,55682.511,57169.791
"COD","CD","Congo DR",23.4509677419355,375.937,393.844,414.002,436.663,462.115,490.692,525.122,566.34,615.509,674.071,743.817,823.175,913.65,1017.011,1135.34,1271.093,1423.004,1592.987,1783.184,1995.985,2234.066,2495.059,2780.414,3091.576,3429.967,3796.973,4194.182,4622.929,5084.463,5579.934,6110.363,6677.526,7282.377,7925.702,8608.105,9329.981,10094.162,10901.21,11751.483,12645.113,13581.989,14566.303,15598.384,16678.354,17806.11,18981.314,20207.203,21483.652,22810.31,24186.593,25611.667,27088.948,28617.848,30197.553,31827.013,33504.933,35235.53,37017.884,38850.862,40733.108,42663.043,44645.851,46680.451,48765.574,50899.75,53081.314,55314.763,57598.82,59932.033,62312.773,64739.233,67216.674,69743.752,72318.97,74940.677,77607.067,80325.487,83094.788,85913.696,88780.808,91694.594,94657.98,97669.618,100728.045,103831.677,106978.815,110221.343,113562.152,117004.221,120550.619
"COG","CG","Congo",25.0167741935484,1766.66,1858.636,1950.256,2040.993,2130.303,2217.624,2314.184,2420.854,2538.619,2668.591,2812.028,2966.313,3132.373,3311.225,3503.985,3711.876,3932.592,4166.951,4415.826,4680.148,4960.91,5254.497,5561.202,5881.305,6215.069,6562.74,6924.019,7299.024,7687.843,8090.532,8507.113,8937.914,9382.932,9842.133,10315.441,10802.743,11304.53,11820.695,12351.089,12895.525,13453.773,14026.527,14613.593,15214.738,15829.687,16458.126,17099.795,17754.307,18421.229,19100.089,19790.366,20492.093,21204.726,21927.68,22660.327,23402,24153.953,24915.623,25686.413,26465.688,27252.777,28052.755,28865.387,29690.418,30527.569,31376.541,32238.454,33113.083,34000.183,34899.488,35810.713,36734.988,37672.097,38621.811,39583.88,40558.04,41545.79,42546.961,43561.365,44588.804,45629.06,46682.27,47748.213,48826.654,49917.344,51020.018,52147.051,53298.979,54476.353,55679.736
"COL","CO","Colombia",20.5690322580645,3020.295,3120.714,3223.061,3327.308,3433.422,3541.369,3653.205,3769.085,3889.168,4013.621,4142.619,4284.736,4441.009,4612.6,4800.813,5007.104,5226.245,5459.137,5706.752,5970.142,6250.44,6540.673,6841.007,7151.603,7472.61,7804.169,8144.681,8494.039,8852.113,9218.75,9593.769,9977.232,10368.938,10768.661,11176.147,11591.117,12014.656,12446.583,12886.695,13334.765,13790.547,14255.013,14727.994,15209.305,15698.74,16196.077,16701.912,17216.064,17738.331,18268.494,18806.318,19351.626,19904.154,20463.62,21029.725,21602.155,22181.481,22767.427,23359.699,23957.988,24561.968,25175.969,25799.98,26433.989,27077.974,27731.907,28396.53,29071.856,29757.893,30454.645,31162.106,31882.948,32617.34,33365.451,34127.451,34903.51,35693.865,36498.69,37318.159,38152.443,39001.717,39864.591,40741.133,41631.408,42535.476,43453.392,44391.116,45349.076,46327.709,47327.461
"COM","KM","Comoros",25.3203333333333,683.894,691.763,703.006,717.768,736.246,758.694,786.995,821.712,863.559,913.419,972.38,1038.955,1114.157,1199.165,1295.354,1404.332,1524.38,1656.755,1802.867,1964.307,2142.862,2335.398,2542.782,2765.911,3005.715,3263.155,3538.402,3832.266,4145.554,4479.064,4833.581,5210.03,5609.192,6031.822,6478.647,6950.357,7448.517,7973.921,8527.327,9109.453,9720.971,10361.68,11031.977,11732.177,12462.505,13223.092,14011.981,14828.74,15672.792,16543.415,17439.737,18361.881,19308.84,20279.457,21272.42,22286.263,23324.268,24385.336,25468.24,26571.626,27694.012,28849.184,30037.309,31258.506,32512.847,33800.356,35125.397,36488.403,37889.777,39329.892,40809.089,42327.024,43883.896,45479.866,47115.049,48789.518,50500.273,52246.977,54029.226,55846.553,57698.424,59581.239,61494.035,63435.771,65405.325,67401.495,69458.589,71578.465,73763.04,76014.288
"CPV","CV","Cape Verde",21.061,1303.166,1352.131,1404.672,1461.058,1521.584,1586.571,1657.637,1735.337,1820.292,1913.196,2014.825,2124.568,2243.153,2371.381,2510.135,2660.392,2819.994,2989.544,3169.681,3361.092,3564.506,3776.365,3996.724,4225.608,4463.02,4708.932,4962.885,5224.727,5494.27,5771.292,6055.528,6347.658,6647.484,6954.77,7269.251,7590.625,7918.388,8252.148,8591.476,8935.909,9284.945,9641.506,10005.415,10376.475,10754.47,11139.157,11530.008,11926.709,12328.926,12736.298,13148.445,13566.513,13990.222,14419.274,14853.352,15292.12,15738.864,16193.528,16656.048,17126.348,17604.344,18089.555,18581.844,19081.064,19587.056,20099.649,20623.084,21157.511,21703.078,22259.936,22828.232,23413.137,24015.182,24634.918,25272.913,25929.756,26599.729,27282.97,27979.613,28689.792,29413.635,30160.977,30932.676,31729.625,32552.755,33403.033,34275.52,35170.797,36089.458,37032.115
"CRI","CR","Costa Rica",22.5196774193548,3803.671,3920.703,4043.562,4172.568,4308.059,4450.398,4601.284,4761.261,4930.915,5110.873,5301.815,5503.899,5717.847,5944.434,6184.494,6438.924,6704.787,6982.633,7273.041,7576.618,7894.002,8218.999,8551.457,8891.206,9238.052,9591.777,9951.162,10315.832,10685.387,11059.397,11437.407,11818.478,12202.059,12587.571,12974.412,13361.958,13752.715,14146.29,14542.273,14940.237,15339.739,15744.278,16153.693,16567.809,16986.444,17409.406,17837.33,18270.063,18707.449,19149.318,19595.498,20045.606,20499.439,20956.781,21417.411,21881.098,22349.047,22821.104,23297.107,23776.887,24260.271,24752.755,25254.493,25765.644,26286.368,26816.827,27357.615,27908.925,28470.955,29043.905,29627.978,30223.737,30831.416,31451.25,32083.483,32728.361,33387.707,34061.872,34751.216,35456.109,36176.932,36912.916,37664.389,38431.688,39215.156,40015.145,40831.454,41664.416,42514.37,43381.663
"CUB","CU","Cuba",25.3858064516129,3420.378,3547.753,3673.733,3797.832,3919.553,4038.393,4169.06,4312.442,4469.536,4641.452,4829.431,5031.117,5247.576,5479.97,5729.572,5997.773,6280.892,6579.85,6895.63,7229.282,7581.927,7946.875,8324.256,8714.181,9116.741,9532.009,9962.093,10407.299,10867.926,11344.267,11836.608,12340.138,12854.475,13379.194,13913.827,14457.858,15010.986,15572.637,16142.191,16718.984,17302.309,17897.612,18504.735,19123.497,19753.692,20395.095,21048.676,21714.277,22391.719,23080.802,23781.304,24492.46,25213.959,25945.467,26686.625,27437.053,28203.699,28986.746,29786.375,30602.76,31436.073,32287.55,33157.441,34045.995,34953.457,35880.073,36827.163,37795.055,38784.076,39794.556,40826.827,41882.2,42961.086,44063.897,45191.051,46342.971,47527.868,48746.768,50000.73,51290.848,52618.256,53981.489,55381.553,56819.48,58296.332,59813.202,61369.542,62966.377,64604.763,66285.779
"CYP","CY","Cyprus",18.7793548387097,13358.818,13245.028,13185.213,13178.436,13224.402,13323.453,13440.726,13576.666,13731.793,13906.708,14102.097,14328.069,14585.946,14877.256,15203.753,15567.427,15955.055,16367.972,16807.616,17275.54,17773.421,18283.732,18806.719,19342.636,19891.734,20454.273,21024.292,21601.535,22185.727,22776.578,23373.779,23974.439,24578.019,25183.966,25791.705,26400.647,27018.581,27645.466,28281.256,28925.899,29579.335,30247.355,30930.28,31628.438,32342.166,33071.805,33819.029,34584.286,35368.035,36170.748,36992.909,37827.987,38676.015,39537.021,40411.026,41298.048,42195.785,43104.091,44022.812,44951.781,45890.824,46843.793,47810.743,48791.723,49786.782,50795.96,51825.797,52876.721,53949.166,55043.579,56160.413,57308.107,58487.623,59699.954,60946.131,62227.219,63541.333,64889.426,66272.479,67691.506,69147.55,70631.456,72143.676,73684.665,75254.885,76854.804,78488.737,80157.408,81861.554,83601.931
"CZE","CZ","Czech Republic",7.9615,11110.251,11383.252,11681.425,12006.355,12359.798,12743.694,13145.681,13566.711,14007.792,14469.993,14954.448,15458.024,15981.557,16525.92,17092.032,17680.853,18283.734,18900.737,19531.909,20177.282,20836.877,21496.614,22155.142,22811.067,23462.962,24109.366,24747.686,25376.326,25993.682,26598.139,27188.085,27781.058,28376.683,28974.58,29574.354,30175.601,30782.01,31393.402,32009.591,32630.385,33255.584,33895.089,34549.264,35218.483,35903.13,36603.6,37329.889,38082.982,38863.912,39673.758,40513.651,41372.46,42250.632,43148.627,44066.916,45005.982,45956.418,46918.102,47890.902,48874.677,49869.277,50876.237,51895.491,52926.966,53970.58,55026.245,56095.295,57177.709,58273.463,59382.524,60504.853,61643.555,62798.755,63970.58,65159.153,66364.597,67592.741,68844.017,70118.871,71417.753,72741.124,74093.09,75474.334,76885.553,78327.464,79800.804,81301.857,82831.145,84389.199,85976.56
"DEU","DE","Germany",8.94225806451613,29555.818,30078.601,30581.696,31063.785,31523.592,31959.878,32405.463,32860.565,33325.41,33800.231,34285.264,34791.246,35318.89,35868.947,36442.204,37039.492,37667.533,38327.544,39020.813,39748.707,40512.677,41303.565,42122.367,42970.122,43847.916,44756.883,45675.473,46603.508,47540.797,48487.144,49442.341,50401.523,51364.192,52329.839,53297.941,54267.963,55249.562,56242.728,57247.448,58263.705,59291.477,60345.679,61427.074,62536.447,63674.61,64842.402,66035.762,67255.31,68501.686,69775.543,71077.555,72410.259,73774.468,75171.019,76600.772,78064.612,79557.676,81080.569,82633.911,84218.333,85834.483,87474.093,89137.326,90824.339,92535.288,94270.324,96032.802,97823.046,99641.381,101488.134,103363.635,105272.141,107214.201,109190.373,111201.223,113247.326,115331.303,117453.861,119615.716,121817.602,124060.264,126348.432,128683.098,131065.28,133496.016,135976.372,138502.813,141076.196,143697.391,146367.289
"DJI","DJ","Djibouti",28.257,950.332,981.951,1017.571,1057.537,1102.247,1152.157,1207.532,1268.928,1336.975,1412.391,1495.991,1587.473,1687.665,1797.492,1917.992,2050.333,2192.048,2343.817,2506.37,2680.493,2867.028,3063.316,3269.594,3486.08,3712.975,3950.457,4198.309,4456.589,4725.321,5004.493,5294.053,5594.279,5905.097,6226.394,6558.011,6899.749,7251.94,7614.377,7986.812,8368.949,8760.448,9162.641,9575.326,9998.268,10431.193,10873.789,11327.225,11791.302,12265.784,12750.405,13244.866,13749.071,14262.682,14785.323,15316.59,15856.04,16404.595,16961.892,17527.537,18101.109,18682.154,19273.482,19874.891,20486.164,21107.058,21737.315,22377.088,23026.113,23684.107,24350.767,25025.77,25712.628,26411.291,27121.702,27843.79,28577.474,29324.318,30084.346,30857.573,31644.01,32443.654,33253.902,34074.541,34905.347,35746.077,36596.476,37467.106,38358.449,39270.996,40205.253
"DNK","DK","Denmark",7.95612903225806,40155.973,40597.126,41068.134,41569.905,42103.413,42669.704,43243.27,43824.2,44412.584,45008.512,45612.076,46237.6,46885.759,47557.257,48252.829,48973.244,49725.081,50509.444,51327.495,52180.456,53069.611,53982.726,54920.514,55883.71,56873.075,57889.397,58931.522,60000.186,61096.15,62220.197,63373.137,64545.287,65736.922,66948.322,68179.769,69431.55,70695.204,71970.545,73257.379,74555.499,75864.694,77194.45,78545.044,79916.755,81309.864,82724.656,84173.164,85656.296,87174.982,88730.183,90322.89,91956.109,93630.997,95348.751,97110.606,98917.834,100768.982,102665.253,104607.885,106598.155,108637.377,110720.608,112848.879,115023.251,117244.81,119514.67,121820.825,124163.683,126543.653,128961.143,131416.563,133909.272,136439.622,139007.961,141614.638,144260,146955.065,149700.774,152498.082,155347.966,158251.42,161218.951,164252.124,167352.547,170521.87,173761.785,177063.259,180427.461,183855.583,187348.839
"DOM","DO","Dominican Republic",25.201935483871,2918.605,3016.518,3118.374,3224.349,3334.628,3449.406,3569.597,3695.489,3827.389,3965.619,4110.522,4264.379,4427.79,4601.404,4785.92,4982.095,5187.238,5401.792,5626.226,5861.031,6106.725,6359.177,6618.377,6884.304,7156.922,7436.185,7721.318,8012.165,8308.551,8610.284,8917.155,9228.881,9545.21,9865.872,10190.577,10519.02,10852.767,11191.656,11535.508,11884.134,12237.331,12595.762,12959.276,13327.708,13700.884,14078.617,14461.387,14849.039,15241.41,15638.326,16039.606,16444.189,16851.807,17262.183,17675.025,18090.035,18509.362,18932.856,19360.36,19791.708,20226.73,20669.251,21119.344,21577.085,22042.546,22515.799,22996.061,23483.348,23977.672,24479.045,24987.475,25503.816,26028.124,26560.451,27100.85,27649.371,28209.105,28780.283,29363.141,29957.921,30564.868,31183.318,31813.47,32455.53,33109.704,33776.202,34456.117,35149.718,35857.282,36579.089
"DZA","DZ","Algeria",17.1409677419355,2667.46,2717.662,2775.032,2839.967,2912.926,2994.43,3083.903,3181.91,3289.077,3406.102,3533.763,3668.024,3809.273,3957.918,4114.398,4279.18,4448.345,4621.892,4799.817,4982.104,5168.734,5358.302,5550.622,5745.494,5942.702,6142.02,6348.417,6562.155,6783.51,7012.765,7250.217,7496.435,7751.763,8016.564,8291.211,8576.097,8870.6,9175.039,9489.743,9815.051,10151.315,10499.201,10859.113,11231.472,11616.712,12015.281,12426.684,12851.304,13289.534,13741.776,14208.447,14683.549,15166.873,15658.189,16157.246,16663.776,17177.454,17697.965,18224.975,18758.128,19297.049,19844.545,20400.47,20964.666,21536.959,22117.165,22706.985,23306.359,23915.214,24533.47,25161.036,25800.58,26452.199,27115.991,27792.047,28480.456,29182.897,29899.571,30630.675,31376.41,32136.974,32911.796,33701.021,34504.791,35323.244,36156.52,37009.452,37882.505,38776.153,39690.883
"ECU","EC","Ecuador",19.3822580645161,2773.175,2846.809,2920.837,2995.19,3069.794,3144.574,3228.201,3321.264,3424.429,3538.449,3664.17,3801.517,3951.442,4115,4293.368,4487.858,4694.793,4915.073,5149.669,5399.634,5666.106,5944.097,6234.014,6536.276,6851.312,7179.558,7519.439,7871.123,8234.769,8610.521,8998.511,9397.775,9808.27,10229.927,10662.653,11106.326,11562.197,12030.257,12510.481,13002.819,13507.198,14023.983,14553.108,15094.484,15647.999,16213.517,16790.038,17377.286,17974.96,18582.73,19200.234,19828.005,20465.713,21113.003,21769.49,22434.766,23109.783,23794.202,24487.661,25189.771,25900.122,26623.15,27358.801,28107.01,28867.698,29640.775,30428.686,31231.516,32049.345,32882.243,33730.276,34594.581,35475.29,36372.531,37286.427,38217.096,39165.874,40132.957,41118.543,42122.822,43145.985,44188.565,45250.769,46332.806,47434.878,48557.187,49706.05,50882.095,52085.966,53318.32
"EGY","EG","Egypt",21.5006451612903,1017.226,1040.946,1071.421,1109.171,1154.86,1209.312,1268.109,1331.628,1400.287,1474.544,1554.907,1641.674,1735.42,1836.779,1946.449,2065.202,2191.155,2324.741,2466.42,2616.679,2776.035,2941.559,3113.204,3290.9,3474.545,3664.012,3858.549,4057.874,4261.669,4469.579,4681.213,4896.858,5116.149,5338.691,5564.059,5791.796,6024.267,6261.298,6502.696,6748.25,6997.733,7252.437,7512.262,7777.1,8046.825,8321.302,8600.133,8883.129,9170.089,9460.799,9755.03,10052.188,10351.984,10654.117,10958.271,11264.116,11573.046,11884.847,12199.296,12516.161,12835.198,13158.516,13486.032,13817.653,14153.284,14492.822,14837.461,15187.18,15541.952,15901.749,16266.535,16637.216,17013.816,17396.355,17784.851,18179.319,18579.736,18986.112,19398.453,19816.761,20241.038,20671.565,21108.355,21551.419,22000.766,22456.402,22921.474,23396.178,23880.713,24375.282
"ERI","ER","Eritrea",23.2138888888889,232.684,235.758,238.154,239.849,240.825,241.07,243.197,247.239,253.276,261.437,271.899,284.124,298.302,314.661,333.471,355.053,379.168,406.133,436.314,470.134,508.078,549.517,594.803,644.326,698.52,757.867,822.25,892.099,967.876,1050.083,1139.267,1235.48,1339.228,1451.048,1571.511,1701.224,1840.156,1988.826,2147.769,2317.537,2498.699,2691.374,2896.053,3113.228,3343.389,3587.022,3844.046,4114.813,4399.649,4698.851,5012.687,5340.848,5683.421,6040.442,6411.893,6797.696,7198.271,7613.51,8043.247,8487.251,8945.223,9419.606,9910.405,10417.58,10941.042,11480.654,12037.971,12613.001,13205.711,13816.026,14443.827,15090.881,15757.234,16442.894,17147.834,17871.987,18615.998,19379.813,20163.338,20966.444,21788.958,22630.709,23491.445,24370.871,25268.645,26184.381,27133.303,28116.614,29135.56,30191.432
"ESP","ES","Spain",14.76,20632.833,20720.687,20828.352,20956.113,21104.315,21273.36,21454.397,21647.701,21853.57,22072.325,22304.305,22567.362,22862.498,23190.849,23553.693,23952.457,24372.822,24815.677,25281.963,25772.686,26288.913,26810.59,27337.633,27869.951,28407.451,28950.033,29496.784,30047.548,30602.165,31160.471,31722.294,32296.912,32884.651,33485.848,34100.85,34730.01,35383.282,36061.579,36765.862,37497.135,38256.452,39042.622,39856.661,40699.629,41572.636,42476.841,43407.848,44366.554,45353.887,46370.812,47418.329,48484.957,49570.923,50676.453,51801.775,52947.112,54109.195,55288.018,56483.566,57695.817,58924.737,60179.363,61460.221,62767.848,64102.795,65465.62,66860.038,68286.831,69746.804,71240.78,72769.607,74333.135,75932.189,77567.617,79240.285,80951.083,82692.826,84465.926,86270.794,88107.844,89977.492,91873.318,93795.308,95743.437,97717.666,99717.947,101759.173,103842.184,105967.833,108136.995
